local_date,latitude,longitude,daytime_sampled_max_vpd_kpa
1940-07-11,-33.25,150.0,0.4998579
1940-07-11,-33.25,150.25,0.58172804
1940-07-11,-33.25,150.5,0.7555929
1940-07-12,-33.25,150.0,0.5648172
1940-07-12,-33.25,150.25,0.63954365
1940-07-12,-33.25,150.5,0.77301735
1940-07-13,-33.25,150.0,0.54613
1940-07-13,-33.25,150.25,0.62738675
1940-07-13,-33.25,150.5,0.78106564
1940-07-14,-33.25,150.0,0.7764961
1940-07-14,-33.25,150.25,0.78488404
1940-07-14,-33.25,150.5,0.84954613
1940-07-15,-33.25,150.0,0.49221408
1940-07-15,-33.25,150.25,0.50533587
1940-07-15,-33.25,150.5,0.5810863
1940-07-16,-33.25,150.0,0.5138949
1940-07-16,-33.25,150.25,0.47744143
1940-07-16,-33.25,150.5,0.5517706
1940-07-17,-33.25,150.0,0.73640007
1940-07-17,-33.25,150.25,0.73362315
1940-07-17,-33.25,150.5,0.7878435
1940-07-18,-33.25,150.0,0.6524003
1940-07-18,-33.25,150.25,0.64613956
1940-07-18,-33.25,150.5,0.6726681
1940-07-19,-33.25,150.0,0.6592594
1940-07-19,-33.25,150.25,0.653394
1940-07-19,-33.25,150.5,0.67923146
1940-07-20,-33.25,150.0,0.6445754
1940-07-20,-33.25,150.25,0.6951104
1940-07-20,-33.25,150.5,0.8108783
1940-07-21,-33.25,150.0,0.5176037
1940-07-21,-33.25,150.25,0.46451598
1940-07-21,-33.25,150.5,0.42621583
1940-07-22,-33.25,150.0,0.7897239
1940-07-22,-33.25,150.25,0.7056599
1940-07-22,-33.25,150.5,0.73106176
1940-07-23,-33.25,150.0,0.6255257
1940-07-23,-33.25,150.25,0.63602686
1940-07-23,-33.25,150.5,0.6865881
1940-07-24,-33.25,150.0,0.88251644
1940-07-24,-33.25,150.25,0.9473363
1940-07-24,-33.25,150.5,1.1824718
1940-07-25,-33.25,150.0,0.54594254
1940-07-25,-33.25,150.25,0.63327783
1940-07-25,-33.25,150.5,0.85209566
1940-07-26,-33.25,150.0,0.69982445
1940-07-26,-33.25,150.25,0.8241778
1940-07-26,-33.25,150.5,0.91398674
1940-07-27,-33.25,150.0,0.450831
1940-07-27,-33.25,150.25,0.3908875
1940-07-27,-33.25,150.5,0.40364248
1940-07-28,-33.25,150.0,0.76791847
1940-07-28,-33.25,150.25,0.77550554
1940-07-28,-33.25,150.5,0.8631606
1940-07-29,-33.25,150.0,0.09264797
1940-07-29,-33.25,150.25,0.13878846
