date,year,month,dmi_labelled_index_value
1/08/1996,1996,8,-1.11
1/09/1996,1996,9,-0.62
1/10/1996,1996,10,-0.3
1/11/1996,1996,11,-0.42
1/12/1996,1996,12,-0.48
1/01/1997,1997,1,-0.77
1/02/1997,1997,2,-0.61
1/03/1997,1997,3,-0.37
1/04/1997,1997,4,0.19
1/05/1997,1997,5,-0.07
1/06/1997,1997,6,-1.03
1/07/1997,1997,7,-1.36
1/08/1997,1997,8,-1.18
1/09/1997,1997,9,-0.68
1/10/1997,1997,10,-0.44
1/11/1997,1997,11,-0.54
1/12/1997,1997,12,-0.52
1/01/1998,1998,1,-0.79
1/02/1998,1998,2,-0.58
1/03/1998,1998,3,-0.31
1/04/1998,1998,4,0.2
1/05/1998,1998,5,-0.06
1/06/1998,1998,6,-0.97
1/07/1998,1998,7,-1.25
1/08/1998,1998,8,-1.05
1/09/1998,1998,9,-0.49
1/10/1998,1998,10,-0.2
1/11/1998,1998,11,-0.32
1/12/1998,1998,12,-0.37
1/01/1999,1999,1,-0.68
1/02/1999,1999,2,-0.5
1/03/1999,1999,3,-0.3
1/04/1999,1999,4,0.21
1/05/1999,1999,5,-0.04
1/06/1999,1999,6,-0.96
1/07/1999,1999,7,-1.34
1/08/1999,1999,8,-1.12
1/09/1999,1999,9,-0.56
1/10/1999,1999,10,-0.29
1/11/1999,1999,11,-0.38
1/12/1999,1999,12,-0.41
1/01/2000,2000,1,-0.74
1/02/2000,2000,2,-0.52
1/03/2000,2000,3,-0.29
1/04/2000,2000,4,0.21
1/05/2000,2000,5,-0.1
1/06/2000,2000,6,-1.02
1/07/2000,2000,7,-1.35
1/08/2000,2000,8,-1.13
1/09/2000,2000,9,-0.56
1/10/2000,2000,10,-0.32
1/11/2000,2000,11,-0.41
1/12/2000,2000,12,-0.39
1/01/2001,2001,1,-0.72
1/02/2001,2001,2,-0.44
1/03/2001,2001,3,-0.21
1/04/2001,2001,4,0.26
1/05/2001,2001,5,-0.07
1/06/2001,2001,6,-1.05
1/07/2001,2001,7,-1.34
1/08/2001,2001,8,-1.09
1/09/2001,2001,9,-0.56
1/10/2001,2001,10,-0.34
1/11/2001,2001,11,-0.4
1/12/2001,2001,12,-0.37
1/01/2002,2002,1,-0.68
1/02/2002,2002,2,-0.37
1/03/2002,2002,3,-0.13
1/04/2002,2002,4,0.3
1/05/2002,2002,5,-0.08
1/06/2002,2002,6,-1.08
1/07/2002,2002,7,-1.41
1/08/2002,2002,8,-1.15
1/09/2002,2002,9,-0.61
1/10/2002,2002,10,-0.42
1/11/2002,2002,11,-0.38
1/12/2002,2002,12,-0.36
1/01/2003,2003,1,-0.68
1/02/2003,2003,2,-0.39
1/03/2003,2003,3,-0.14
1/04/2003,2003,4,0.27
1/05/2003,2003,5,-0.11
1/06/2003,2003,6,-1.06
1/07/2003,2003,7,-1.42
1/08/2003,2003,8,-1.13
1/09/2003,2003,9,-0.47
1/10/2003,2003,10,-0.31
1/11/2003,2003,11,-0.31
1/12/2003,2003,12,-0.37
1/01/2004,2004,1,-0.72
1/02/2004,2004,2,-0.39
1/03/2004,2004,3,-0.11
1/04/2004,2004,4,0.28
1/05/2004,2004,5,-0.05
1/06/2004,2004,6,-1.01
1/07/2004,2004,7,-1.39
1/08/2004,2004,8,-1.1
1/09/2004,2004,9,-0.48
1/10/2004,2004,10,-0.34
1/11/2004,2004,11,-0.32
1/12/2004,2004,12,-0.36
1/01/2005,2005,1,-0.73
1/02/2005,2005,2,-0.38
1/03/2005,2005,3,-0.06
1/04/2005,2005,4,0.27
1/05/2005,2005,5,-0.11
1/06/2005,2005,6,-1.05
1/07/2005,2005,7,-1.42
1/08/2005,2005,8,-1.12
1/09/2005,2005,9,-0.47
1/10/2005,2005,10,-0.35
1/11/2005,2005,11,-0.32
1/12/2005,2005,12,-0.39
1/01/2006,2006,1,-0.79
1/02/2006,2006,2,-0.5
1/03/2006,2006,3,-0.2
1/04/2006,2006,4,0.25
1/05/2006,2006,5,-0.1
1/06/2006,2006,6,-1.05
1/07/2006,2006,7,-1.48
1/08/2006,2006,8,-1.18
1/09/2006,2006,9,-0.6
1/10/2006,2006,10,-0.46
1/11/2006,2006,11,-0.37
1/12/2006,2006,12,-0.42
1/01/2007,2007,1,-0.76
1/02/2007,2007,2,-0.52
1/03/2007,2007,3,-0.17
1/04/2007,2007,4,0.29
1/05/2007,2007,5,-0.08
1/06/2007,2007,6,-1.01
1/07/2007,2007,7,-1.43
1/08/2007,2007,8,-1.13
1/09/2007,2007,9,-0.55
1/10/2007,2007,10,-0.36
1/11/2007,2007,11,-0.27
1/12/2007,2007,12,-0.37
1/01/2008,2008,1,-0.72
1/02/2008,2008,2,-0.51
1/03/2008,2008,3,-0.12
1/04/2008,2008,4,0.32
1/05/2008,2008,5,-0.04
1/06/2008,2008,6,-0.97
1/07/2008,2008,7,-1.37
1/08/2008,2008,8,-1.05
1/09/2008,2008,9,-0.48
1/10/2008,2008,10,-0.27
1/11/2008,2008,11,-0.23
1/12/2008,2008,12,-0.38
1/01/2009,2009,1,-0.77
1/02/2009,2009,2,-0.56
1/03/2009,2009,3,-0.12
1/04/2009,2009,4,0.28
1/05/2009,2009,5,-0.04
1/06/2009,2009,6,-0.92
1/07/2009,2009,7,-1.31
1/08/2009,2009,8,-1.03
1/09/2009,2009,9,-0.46
1/10/2009,2009,10,-0.25
1/11/2009,2009,11,-0.21
1/12/2009,2009,12,-0.37
1/01/2010,2010,1,-0.75
1/02/2010,2010,2,-0.51
1/03/2010,2010,3,-0.05
1/04/2010,2010,4,0.31
1/05/2010,2010,5,0
1/06/2010,2010,6,-0.86
1/07/2010,2010,7,-1.34
1/08/2010,2010,8,-1.04
1/09/2010,2010,9,-0.48
1/10/2010,2010,10,-0.27
1/11/2010,2010,11,-0.25
1/12/2010,2010,12,-0.33
1/01/2011,2011,1,-0.72
1/02/2011,2011,2,-0.53
1/03/2011,2011,3,-0.02
1/04/2011,2011,4,0.36
1/05/2011,2011,5,-0.03
1/06/2011,2011,6,-0.89
1/07/2011,2011,7,-1.39
1/08/2011,2011,8,-1.11
1/09/2011,2011,9,-0.61
1/10/2011,2011,10,-0.41
1/11/2011,2011,11,-0.29
1/12/2011,2011,12,-0.36
1/01/2012,2012,1,-0.7
1/02/2012,2012,2,-0.53
1/03/2012,2012,3,0.01
1/04/2012,2012,4,0.4
