year,rainfall_derived_dryness_mm,annual_vpd_kpa,annual_ffdi_index,blue_mountains_lga_population_persons,chara_mean_raw_mm2_cm2_yr,raman_mean_raw_kw_m2,annual_mean_nino34_sst_anomaly_c,annual_mean_southern_oscillation_index,annual_mean_dmi_ipo_index,annual_mean_daily_max_vpd_kpa,annual_mean_vpd_smooth_365d_centered_kpa,annual_mean_vpd_smooth_1825d_centered_kpa
1970,258.8166666666666,1.0643316615452054,5.2002,,34.17075000315873,,-0.355,0.2891666666666667,-0.45083333333333336,1.0643316615452054,1.0446372878096815,1.1006038346358817
1971,93.21666666666648,1.0319822768136986,5.46687,18438.0,17.441548142373016,41.39661914,-0.9308333333333333,1.0725,-0.4383333333333333,1.0319822768136986,1.0109119528504065,1.054732114791663
1972,-285.7833333333336,1.087911313838798,5.41389,,73.28196310894444,,0.775,-0.8291666666666666,-0.4191666666666667,1.087911313838798,1.105335266245523,1.022820826293257
1973,-262.38333333333344,1.0102803800273972,4.08007,,73.28196310894444,,-0.6508333333333333,0.64,-0.3575,1.0102803800273972,1.005752410635808,1.0130249280394281
1974,-539.2833333333335,0.9325060617671233,4.16952,,73.28196310894444,40.45621838,-0.945,0.9591666666666666,-0.385,0.9325060617671233,0.9473630733156343,1.021124325321496
1975,-96.88333333333344,1.0309657944958903,5.38139,,81.26212266023016,,-1.045,1.3283333333333334,-0.37916666666666665,1.0309657944958905,0.9954539761069143,1.0694650726486343
1976,-113.1833333333334,1.0258688044180326,4.67499,,81.26212266023016,,-0.08583333333333336,0.05833333333333334,-0.41250000000000003,1.0258688044180326,1.051987087653476,1.1203148195258306
1977,249.8166666666666,1.406670940060274,7.54096,,81.26212266023016,,0.5016666666666667,-1.135,-0.37083333333333335,1.406670940060274,1.3476939765742613,1.2075274663993731
1978,-578.1833333333336,1.1215860539953424,4.12551,,81.26212266023016,45.72452562,-0.17916666666666667,-0.2875,-0.35833333333333334,1.1215860539953424,1.2589739168812129,1.3212372943517243
1979,761.2166666666666,1.469045949232877,7.89667,,83.24732985665874,,0.18666666666666668,-0.26333333333333336,-0.3725,1.469045949232877,1.3835500777997518,1.3738956087134873
1980,648.4166666666665,1.6079603640191256,9.42264,,87.47030611221429,,0.14083333333333334,-0.43250000000000005,-0.36916666666666664,1.6079603640191256,1.563429570483082,1.3871362485824785
1981,-238.48333333333332,1.2503208179452054,5.3395,,90.98634130221429,43.78085464,-0.18916666666666668,0.07083333333333335,-0.3958333333333333,1.2503208179452054,1.3148440943887643,1.3865930795519537
1982,585.4166666666665,1.4495591763863014,8.064,,90.98634130221429,,0.915,-1.4500000000000002,-0.4008333333333333,1.4495591763863014,1.4146512462412089,1.3383143399234383
1983,161.41666666666652,1.233190211369863,5.85053,,90.98634130221429,43.87620065,0.44583333333333336,-0.9483333333333333,-0.34,1.233190211369863,1.2555919178022181,1.2687153825049882
1984,-277.9833333333333,1.1053171845710383,4.22367,,89.1744174765,,-0.7200000000000001,-0.13749999999999998,-0.3258333333333333,1.1053171845710383,1.1431814533651006,1.248347781017053
1985,-87.38333333333344,1.2044210403123288,5.96906,,89.1744174765,,-0.7116666666666666,-0.017499999999999988,-0.3666666666666667,1.2044210403123288,1.215554182572742,1.19131172772868
1986,-110.98333333333336,1.2279020396849316,6.33161,63866.0,87.93795359607142,47.05472126,0.08416666666666667,-0.3225,-0.4275,1.2279020396849316,1.212827270196261,1.1630849121196083
1987,-167.78333333333353,1.1522274548767124,5.39537,,91.35797234607142,45.290118485,1.2241666666666666,-1.4775,-0.44083333333333335,1.1522274548767124,1.1305119251295137,1.1592721209514647
1988,-371.98333333333335,1.1504819024273223,4.9844,,65.74870384607142,44.73212468,-1.0191666666666668,0.7366666666666667,-0.45416666666666666,1.1504819024273225,1.1130450505888605,1.1689488315125307
1989,-252.1833333333334,1.127702634339726,4.63526,,64.96517175107142,,-0.7883333333333334,0.6166666666666667,-0.4791666666666667,1.127702634339726,1.124629932809684,1.1999690554249234
1990,-347.38333333333344,1.210245404380822,5.13036,,60.312572742976194,27.99485721,0.1775,-0.32583333333333336,-0.535,1.210245404380822,1.2643286469304922,1.196329980990686
1991,331.51666666666665,1.407726911279452,7.99383,69420.0,59.97849546140476,,0.5975,-1.0133333333333334,-0.5866666666666666,1.407726911279452,1.3674251795637438,1.2114611490186507
1992,,1.043139366909836,4.24269,,59.97849546140476,,0.6224999999999999,-1.2275,-0.5425,1.043139366909836,1.1122407037486903,1.2577462541688098
1993,746.2166666666666,1.1981252747337534,5.43028,,59.97849546140476,45.23229603,0.4366666666666667,-1.1066666666666667,-0.5966666666666667,1.1981252747337534,1.189055933737077,1.2493134087332933
1994,709.0166666666665,1.460847309728767,8.87256,,60.47108944783333,,0.3825,-1.3533333333333333,-0.5808333333333333,1.460847309728767,1.3561367587485034,1.2166056883328862
1995,-32.88333333333344,1.1602000645049315,4.99909,,59.97239224247619,,-0.024999999999999984,-0.3358333333333334,-0.5366666666666666,1.1602000645049315,1.2226640142288603,1.2725474887849657
1996,223.61666666666656,1.1884861166557377,5.49447,72506.0,59.414148069333336,53.28241169,-0.37000000000000005,0.5625,-0.5633333333333334,1.1884861166557377,1.2032407857927188,1.292574142043221
1997,539.4166666666665,1.4087189381884933,7.55265,,58.98101316347619,,1.19,-1.2883333333333333,-0.6150000000000001,1.4087189381884933,1.3923940087232978,1.2413292526571809
1998,-96.38333333333344,1.2685095353178082,5.85502,,58.98101316347619,40.6729695025,0.07250000000000002,-0.22416666666666663,-0.5158333333333334,1.2685095353178082,1.2883930404748238,1.2203965531772976
1999,-102.28333333333352,1.092613626589041,4.53269,,56.59102154371429,,-1.0941666666666665,0.7866666666666666,-0.5308333333333334,1.092613626589041,1.1003174994505895,1.2272462226254355
2000,230.9166666666665,1.117916472749989,5.42535,,86.42774158085714,42.35380185,-0.8725,0.7225,-0.5516666666666666,1.117916472749989,1.1178429296952532,1.2276597076546432
2001,270.61666666666656,1.2700382859369863,6.58699,73675.0,86.56307311814285,,-0.33666666666666667,-0.07833333333333334,-0.5275,1.2700382859369863,1.2376205248504402,1.2334650030858614
2002,491.8166666666666,1.440897732760274,9.30792,,86.56307311814285,43.82800153,0.5891666666666667,-0.7233333333333333,-0.5308333333333334,1.4408977327602739,1.3952197273525286,1.287357118778039
2003,301.51666666666665,1.2038990287041096,6.69339,,108.09205618957142,38.1474026075,0.23916666666666667,-0.4266666666666667,-0.51,1.2038990287041096,1.3163217782629748,1.3266705627334499
2004,529.8166666666666,1.407591302204918,8.27352,,108.22356752957144,41.13579847,0.36916666666666664,-0.6333333333333333,-0.4991666666666667,1.407591302204918,1.3694174257817404,1.3612446759509451
2005,192.21666666666647,1.3455200971780823,6.48114,,101.00053328671429,,0.03583333333333335,-0.4566666666666666,-0.5108333333333334,1.3455200971780823,1.3147004782086769,1.3264806320524798
2006,529.5166666666665,1.4222589253479452,9.6475,74067.0,101.00053328671429,45.011736005,0.09333333333333334,-0.2825,-0.5750000000000001,1.4222589253479452,1.4105057678685544,1.2859730375750995
2007,-451.78333333333353,1.2059178317123287,5.59992,,75.034341935,31.523659345,-0.5608333333333334,0.034999999999999996,-0.5299999999999999,1.2059178317123287,1.221641335452259,1.2625824442543585
2008,170.01666666666665,1.0692207450737703,4.8375,,44.90217986928571,45.53925209,-0.7133333333333334,0.9974999999999999,-0.48500000000000004,1.0692207450737705,1.1138183734955205,1.2218489484437083
2009,69.41666666666652,1.3223382079890411,7.90129,,57.92666943285714,,0.35250000000000004,-0.13166666666666663,-0.48,1.3223382079890411,1.2527089892125758,1.1435325985779556
2010,-207.58333333333348,1.0410628967726028,4.37616,,57.92666943285714,42.978556965,-0.43,0.9441666666666667,-0.46416666666666667,1.0410628967726028,1.1107217740770068,1.1308979621372262
2011,,1.0535181427863014,4.71907,75942.0,54.90184554571429,46.66089104,-0.8483333333333333,1.3958333333333333,-0.5,1.0535181427863014,1.0195377671479449,1.1807391757794783
2012,72.8166666666666,1.178221314751366,5.73085,,147.9183249767143,39.7853322,-0.03166666666666667,-0.18000000000000002,-0.48500000000000004,1.178221314751366,1.157961239845465,1.1949569334502832
2013,-62.083333333333485,1.380688764767123,8.24566,,148.80184778814285,43.47511617,-0.22166666666666668,0.3458333333333334,-0.42083333333333334,1.3806887647671233,1.3634644132362372,1.2180494816980934
2014,,1.3409985883726028,7.17167,,147.0699035717143,,0.25416666666666665,-0.38166666666666665,-0.4366666666666667,1.3409985883726028,1.3234229813256089,1.2661537714475173
2015,11.416666666666517,1.168049059980822,5.44284,,147.0699035717143,46.99953512,1.47,-1.1741666666666666,-0.3358333333333334,1.168049059980822,1.2254381348406036,1.3005629013015274
2016,328.21666666666647,1.2523914546709565,6.83722,,127.97515805314283,28.84409583,0.3958333333333333,-0.4566666666666666,-0.285,1.2523914546709563,1.2599547219080003,1.3028306138308616
2017,244.61666666666656,1.2962261423780823,8.34229,,123.7514288502857,50.71608324,-0.2025,0.10916666666666668,-0.3466666666666667,1.2962261423780823,1.3310138019990978,1.3226974356627035
2018,411.01666666666665,1.3968531659232877,10.1948,,137.62615623242857,40.97653855,0.0625,0.08750000000000002,-0.29083333333333333,1.3968531659232877,1.374476386383106,1.3245102258683954
2019,,1.5345014110246575,10.9557,78894.0,124.3375789152857,42.83224925333334,0.5325000000000001,-0.7908333333333334,-0.245,1.5345014110246575,1.4225946760421166,1.2844664935830432
2020,-505.0833333333335,1.153088904465574,5.67468,78855.0,91.58885298714286,37.32859451,-0.22166666666666668,0.30083333333333334,-0.1558333333333333,1.1530889044655739,1.2342804572494448,1.2022577684504647
2021,-328.1833333333334,1.0849049944951508,4.71849,78199.0,98.85323485714284,39.752274588,-0.6275000000000001,0.7725,-0.18666666666666668,1.0849049944951508,1.059166526523338,1.1581427909336592
2022,-1099.1833333333336,0.8947972768712329,3.53817,,,,-0.8475,1.4241666666666666,-0.2191666666666667,0.8947972768712329,0.8849394541530564,1.0666513335870318
